EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
142030.141,135882.703,225383.297,225381.141,133609.969,160084.453,132961.141,147938.063,-0.022,1.016,-0.010,-0.488,0.732,1.190,93.333,22297.000,1.000
142813.266,136227.094,225973.016,225505.953,134258.797,160599.609,133149.531,148556.672,-0.020,1.017,-0.007,-0.427,0.732,1.160,93.333,22298.000,1.000
142314.453,135900.578,225676.641,225388.203,133936.219,160242.172,132970.531,148135.125,-0.020,1.017,-0.012,-0.427,0.793,1.007,93.333,22299.000,1.000
141599.016,135591.594,225145.906,225280.203,133358.656,159775.547,132806.656,147592.422,-0.021,1.018,-0.005,-0.366,0.671,1.007,93.333,22300.000,1.000
141894.953,135809.203,225290.484,225352.359,133504.469,159988.344,132914.750,147821.844,-0.021,1.018,-0.009,-0.275,0.641,1.007,93.333,22301.000,1.000
142755.953,136219.578,225923.313,225508.547,134195.594,160566.172,133144.344,148511.797,-0.022,1.016,-0.011,-0.305,0.732,1.038,93.333,22302.000,1.000
142492.922,135996.953,225795.016,225429.063,134056.922,160365.734,133024.266,148267.078,-0.021,1.016,-0.009,-0.214,0.671,0.977,93.333,22303.000,1.000
141655.625,135607.859,225191.422,225292.359,133408.984,159812.203,132816.750,147630.500,-0.023,1.016,-0.010,-0.336,0.641,0.885,93.333,22304.000,1.000
141791.250,135753.688,225212.516,225335.375,133422.219,159915.656,132885.234,147727.422,-0.023,1.017,-0.010,-0.305,0.641,0.854,93.333,22305.000,1.000
142645.172,136178.188,225826.922,225492.641,134094.203,160499.750,133121.000,148419.969,-0.024,1.016,-0.008,-0.305,0.549,0.671,93.333,22306.000,1.000
142641.688,136081.266,225880.297,225456.781,134150.531,160466.844,133067.625,148377.859,-0.025,1.016,-0.008,-0.244,0.519,0.580,93.333,22307.000,1.000
141737.969,135630.578,225253.828,225296.031,133476.844,159865.766,132828.906,147693.266,-0.026,1.018,-0.007,-0.214,0.488,0.488,93.333,22308.000,1.000
141698.984,135688.422,225150.922,225307.391,133356.422,159848.594,132849.656,147657.234,-0.026,1.018,-0.009,-0.153,0.397,0.458,93.333,22309.000,1.000
142495.500,136109.438,225713.641,225462.859,133968.859,160402.656,133085.688,148312.422,-0.028,1.018,-0.007,-0.153,0.214,0.427,93.333,22310.000,1.000
142741.563,136145.906,225949.422,225478.156,134221.969,160542.844,133109.391,148479.969,-0.028,1.017,-0.010,-0.122,0.214,0.519,93.333,22311.000,1.000
141851.594,135683.766,225351.016,225312.656,133575.109,159945.875,132860.563,147792.953,-0.030,1.018,-0.011,-0.153,0.244,0.336,93.333,22312.000,1.000
141636.578,135651.766,225128.844,225294.328,133325.563,159805.688,132830.516,147615.125,-0.030,1.018,-0.010,-0.122,0.092,0.336,93.333,22313.000,1.000
142336.359,136036.828,225601.172,225432.016,133840.281,160288.922,133037.047,148182.500,-0.028,1.018,-0.011,-0.153,-0.061,0.244,93.333,22314.000,1.000
142801.453,136184.094,225978.828,225482.266,134258.266,160573.422,133115.906,148528.594,-0.030,1.019,-0.012,-0.092,-0.183,0.183,93.333,22315.000,1.000
141981.859,135734.016,225437.734,225321.781,133675.859,160014.266,132876.125,147881.734,-0.031,1.021,-0.014,-0.061,-0.214,0.153,93.333,22316.000,1.000
141584.813,135606.078,225094.500,225272.875,133299.188,159757.578,132804.328,147569.359,-0.030,1.020,-0.014,-0.061,-0.153,0.214,93.333,22317.000,1.000
142163.453,135947.250,225466.609,225389.375,133700.547,160164.734,132989.125,148036.594,-0.028,1.020,-0.015,0.031,-0.305,0.244,93.333,22318.000,1.000
142834.719,136224.500,225989.641,225501.031,134273.906,160602.391,133152.750,148559.000,-0.028,1.019,-0.015,0.153,-0.366,0.244,93.333,22319.000,1.000
142162.828,135829.406,225568.094,225366.031,133815.969,160138.359,132942.016,148015.500,-0.028,1.019,-0.017,0.214,-0.427,0.305,93.333,22320.000,1.000
141586.328,135596.328,225113.375,225275.375,133320.828,159759.016,132806.563,147568.813,-0.026,1.020,-0.014,0.183,-0.366,0.488,93.333,22321.000,1.000
142030.688,135882.156,225376.500,225373.359,133598.625,160073.359,132955.156,147922.688,-0.026,1.016,-0.016,0.214,-0.458,0.580,93.333,22322.000,1.000
142824.797,136239.438,225978.563,225508.281,134256.297,160598.719,133152.391,148554.969,-0.024,1.015,-0.017,0.244,-0.458,0.702,93.333,22323.000,1.000
142331.359,135911.484,225684.141,225384.813,133937.297,160243.953,132971.156,148136.188,-0.024,1.018,-0.017,0.153,-0.336,0.763,93.333,22324.000,1.000
141593.750,135588.547,225138.938,225266.344,133348.906,159762.594,132797.797,147578.828,-0.023,1.018,-0.017,0.214,-0.275,0.854,93.333,22325.000,1.000
141876.453,135800.531,225272.969,225330.719,133485.344,159966.891,132897.672,147794.563,-0.022,1.017,-0.019,0.397,-0.122,0.946,93.333,22326.000,1.000
142731.984,136209.844,225904.531,225486.469,134175.375,160542.656,133129.141,148483.359,-0.020,1.019,-0.022,0.397,0.000,1.007,93.333,22327.000,1.000
142482.359,135998.031,225787.313,225410.563,134046.016,160346.688,133016.844,148253.406,-0.019,1.018,-0.019,0.427,0.153,1.129,93.333,22328.000,1.000
141653.734,135617.703,225198.656,225282.172,133408.719,159805.594,132822.297,147629.344,-0.019,1.018,-0.016,0.397,0.153,1.190,93.333,22329.000,1.000
141784.188,135759.047,225217.891,225329.375,133416.766,159907.422,132890.516,147722.234,-0.017,1.017,-0.015,0.519,0.305,1.373,93.333,22330.000,1.000
142626.750,136176.125,225825.406,225482.078,134082.125,160482.578,133119.938,148408.703,-0.017,1.017,-0.015,0.427,0.366,1.404,93.333,22331.000,1.000
142558.625,136051.406,225858.047,225443.016,134132.375,160422.141,133059.766,148366.141,-0.019,1.018,-0.016,0.427,0.580,1.465,93.333,22332.000,1.000
141720.438,135639.328,225252.578,225295.219,133472.641,159850.203,132832.484,147688.984,-0.018,1.018,-0.018,0.427,0.702,1.526,93.333,22333.000,1.000
141702.109,135701.109,225160.672,225312.391,133355.078,159840.734,132850.547,147652.594,-0.018,1.020,-0.019,0.275,0.732,1.465,93.333,22334.000,1.000
142501.500,136119.813,225723.219,225467.516,133967.781,160391.031,133077.906,148303.563,-0.018,1.019,-0.021,0.275,0.885,1.312,93.333,22335.000,1.000
142694.078,136125.703,225937.516,225473.328,134212.484,160504.391,133088.906,148464.500,-0.020,1.021,-0.021,0.183,0.824,1.312,93.333,22336.000,1.000
141829.516,135673.672,225338.766,225306.406,133563.297,159914.313,132836.609,147768.813,-0.021,1.024,-0.021,0.092,0.916,1.282,93.333,22337.000,1.000
141649.719,135651.219,225126.609,225290.938,133313.672,159790.656,132807.719,147585.719,-0.021,1.026,-0.019,0.000,1.007,1.282,93.333,22338.000,1.000
142343.688,136035.578,225606.719,225430.313,133831.609,160281.688,133021.406,148159.969,-0.020,1.026,-0.016,-0.031,1.007,1.190,93.333,22339.000,1.000
142774.906,136173.453,225987.234,225483.422,134258.359,160561.344,133105.359,148519.484,-0.019,1.025,-0.014,-0.153,1.068,1.160,93.333,22340.000,1.000
141951.109,135727.313,225447.219,225323.297,133680.063,160003.984,132866.203,147874.406,-0.021,1.025,-0.016,-0.183,1.007,1.068,93.333,22341.000,1.000
