EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
122.751,17.118,12.389,26.368,30.775,-113.693,50.932,25.927,0.089,1.039,-0.034,8.453,-37.201,3.265,100.000,17801.000,1.000
126.387,33.493,29.042,42.268,45.146,-93.241,66.154,39.827,0.079,1.040,-0.033,7.874,-35.736,2.808,100.000,17802.000,1.000
129.206,47.663,43.443,55.376,56.468,-74.597,78.576,49.875,0.073,1.038,-0.034,7.294,-34.332,2.472,100.000,17803.000,1.000
128.078,54.414,50.297,60.977,59.246,-61.203,84.244,51.591,0.070,1.037,-0.034,6.653,-33.020,2.197,100.000,17804.000,1.000
122.045,51.301,47.352,57.155,51.782,-55.897,81.117,43.547,0.067,1.033,-0.036,6.348,-31.891,1.831,100.000,17805.000,1.000
111.449,39.869,36.445,45.867,37.421,-60.867,70.579,28.753,0.065,1.028,-0.041,6.012,-30.670,1.862,100.000,17806.000,1.000
95.725,24.307,21.676,31.544,21.616,-75.936,55.808,11.919,0.064,1.022,-0.045,5.859,-29.663,1.770,100.000,17807.000,1.000
75.049,9.112,6.885,18.533,8.171,-96.947,39.392,-3.602,0.069,1.009,-0.051,5.768,-28.290,1.526,100.000,17808.000,1.000
53.191,-2.397,-5.282,9.427,-1.356,-116.470,23.430,-15.721,0.075,1.002,-0.048,6.012,-27.191,1.465,100.000,17809.000,1.000
35.070,-8.844,-13.382,4.714,-6.508,-126.912,10.479,-22.862,0.081,0.996,-0.046,6.134,-25.909,1.312,100.000,17810.000,1.000
21.741,-10.948,-17.214,3.408,-7.701,-123.872,2.913,-24.792,0.085,0.991,-0.050,6.348,-24.628,1.251,100.000,17811.000,1.000
10.947,-10.636,-17.542,3.988,-6.259,-107.812,1.573,-23.095,0.084,0.986,-0.050,6.622,-23.132,1.190,100.000,17812.000,1.000
1.837,-9.702,-15.495,4.951,-3.617,-83.389,5.584,-19.817,0.081,0.987,-0.050,6.927,-21.759,1.160,100.000,17813.000,1.000
-5.145,-9.326,-12.349,5.102,-0.907,-57.079,12.839,-16.313,0.074,0.987,-0.048,7.172,-20.355,0.916,100.000,17814.000,1.000
-13.001,-10.543,-9.802,3.768,0.300,-34.939,20.087,-13.938,0.068,0.989,-0.047,7.782,-19.043,0.610,100.000,17815.000,1.000
-27.179,-14.005,-9.441,0.983,-1.671,-20.994,23.870,-14.063,0.060,0.994,-0.046,8.209,-17.853,0.244,100.000,17816.000,1.000
-47.763,-18.696,-11.163,-2.244,-6.319,-15.423,22.986,-15.810,0.052,1.001,-0.043,8.545,-16.754,-0.061,100.000,17817.000,1.000
-67.161,-21.747,-12.661,-4.055,-10.194,-13.892,19.654,-15.392,0.044,1.008,-0.043,8.850,-15.839,-0.427,100.000,17818.000,1.000
-77.959,-20.358,-11.183,-2.606,-9.784,-9.980,17.350,-9.615,0.038,1.013,-0.041,9.155,-15.106,-0.763,100.000,17819.000,1.000
-79.558,-13.783,-5.652,2.729,-4.653,0.963,17.857,0.804,0.028,1.019,-0.042,9.277,-14.587,-1.190,100.000,17820.000,1.000
-75.747,-3.653,2.834,10.601,2.790,19.647,20.671,12.357,0.018,1.025,-0.042,9.308,-13.916,-1.556,100.000,17821.000,1.000
-70.109,6.871,11.778,18.019,9.500,43.164,24.071,21.725,0.012,1.031,-0.042,9.186,-13.519,-1.862,100.000,17822.000,1.000
-65.786,14.391,18.446,22.014,13.115,66.981,25.889,26.707,0.008,1.037,-0.041,9.033,-13.245,-2.106,100.000,17823.000,1.000
-65.922,16.946,21.212,21.630,12.320,87.356,24.236,25.964,0.003,1.038,-0.042,8.972,-13.062,-2.411,100.000,17824.000,1.000
-71.491,15.060,20.281,18.321,7.189,102.680,18.776,19.852,0.001,1.040,-0.040,8.667,-12.848,-2.686,100.000,17825.000,1.000
-80.056,10.850,16.997,14.240,-0.801,112.992,11.223,11.089,0.003,1.040,-0.040,8.453,-12.726,-2.747,100.000,17826.000,1.000
-88.083,5.969,12.358,10.257,-9.713,118.612,3.801,3.010,0.003,1.041,-0.040,8.209,-12.604,-2.869,100.000,17827.000,1.000
-93.764,0.719,6.461,5.774,-18.325,119.699,-2.823,-3.051,0.003,1.040,-0.040,7.874,-12.451,-2.960,100.000,17828.000,1.000
-96.953,-4.949,-0.610,0.193,-26.102,117.225,-9.604,-7.705,0.005,1.037,-0.038,7.690,-12.238,-2.930,100.000,17829.000,1.000
-97.545,-10.360,-7.924,-5.961,-32.513,113.765,-17.576,-11.248,0.005,1.035,-0.043,7.721,-12.085,-2.838,100.000,17830.000,1.000
-95.638,-14.608,-14.271,-11.419,-37.432,112.444,-27.027,-13.119,0.006,1.031,-0.047,7.690,-11.749,-2.777,100.000,17831.000,1.000
-92.914,-17.725,-19.273,-15.275,-41.950,114.634,-37.699,-13.553,0.005,1.029,-0.049,7.660,-11.414,-2.808,100.000,17832.000,1.000
-91.949,-20.520,-23.293,-17.470,-47.403,119.095,-48.578,-13.827,-0.001,1.029,-0.047,7.751,-11.078,-2.625,100.000,17833.000,1.000
-93.330,-23.067,-26.198,-18.252,-53.257,123.991,-57.252,-14.151,-0.004,1.029,-0.046,7.812,-10.742,-2.563,100.000,17834.000,1.000
-94.470,-23.983,-26.775,-17.448,-56.797,129.210,-60.478,-12.651,-0.007,1.030,-0.046,7.904,-10.437,-2.441,100.000,17835.000,1.000
-92.326,-21.702,-23.810,-14.563,-55.486,135.874,-56.511,-7.478,-0.011,1.028,-0.048,8.148,-10.223,-2.380,100.000,17836.000,1.000
-86.781,-16.291,-17.696,-9.763,-49.455,144.065,-47.012,0.690,-0.015,1.030,-0.047,8.148,-9.857,-2.289,100.000,17837.000,1.000
-80.342,-9.662,-10.694,-4.497,-41.420,151.499,-36.135,9.020,-0.018,1.033,-0.045,8.209,-9.705,-2.136,100.000,17838.000,1.000
-75.176,-4.241,-5.506,-0.763,-34.487,154.021,-27.586,14.885,-0.020,1.035,-0.049,8.057,-9.521,-1.984,100.000,17839.000,1.000
-71.829,-1.635,-3.539,0.323,-30.445,148.118,-22.857,17.167,-0.021,1.035,-0.049,8.118,-9.430,-1.862,100.000,17840.000,1.000
-70.321,-2.058,-4.338,-0.806,-29.656,134.787,-21.859,16.105,-0.023,1.035,-0.050,8.148,-9.338,-1.740,100.000,17841.000,1.000
-70.796,-4.300,-6.342,-2.764,-31.502,120.863,-24.081,13.118,-0.027,1.035,-0.053,8.087,-9.277,-1.617,100.000,17842.000,1.000
-73.039,-6.442,-8.146,-4.401,-34.708,114.596,-28.834,10.247,-0.028,1.035,-0.054,8.026,-9.155,-1.434,100.000,17843.000,1.000
-76.264,-7.139,-9.264,-5.541,-37.803,118.910,-35.001,8.622,-0.029,1.034,-0.056,7.965,-9.125,-1.434,100.000,17844.000,1.000
