EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
145133.453,144858.438,489781.094,401827.625,138569.375,163527.969,137873.531,151509.609,-0.032,1.012,-0.111,-0.458,0.427,1.007,93.333,9967.000,1.000
145041.016,144863.625,489610.594,401820.000,138303.125,163427.828,137868.344,151372.813,-0.030,1.010,-0.106,-0.458,0.366,1.038,93.333,9968.000,1.000
145648.094,145163.141,490145.719,401952.781,138980.375,163938.875,138094.984,152086.281,-0.031,1.010,-0.104,-0.549,0.458,0.916,93.333,9969.000,1.000
145929.266,145244.688,490462.219,401987.469,139451.828,164183.406,138156.406,152419.063,-0.028,1.012,-0.106,-0.519,0.519,0.824,93.333,9970.000,1.000
145241.016,144916.469,489864.625,401838.969,138714.844,163621.125,137911.609,151633.891,-0.029,1.012,-0.108,-0.488,0.458,0.885,93.333,9971.000,1.000
145010.891,144859.250,489576.000,401805.781,138300.625,163409.859,137859.844,151342.234,-0.028,1.014,-0.105,-0.519,0.549,0.916,93.333,9972.000,1.000
145524.969,145120.234,490004.719,401916.844,138835.094,163837.219,138052.875,151940.641,-0.030,1.014,-0.102,-0.549,0.397,0.885,93.333,9973.000,1.000
145947.250,145266.141,490449.500,401983.906,139473.813,164200.219,138170.531,152464.563,-0.029,1.014,-0.104,-0.610,0.366,0.824,93.333,9974.000,1.000
145325.859,144952.766,489924.438,401840.500,138846.891,163690.141,137942.813,151759.328,-0.028,1.015,-0.106,-0.641,0.427,0.824,93.333,9975.000,1.000
144996.844,144839.125,489532.375,401777.188,138295.969,163383.844,137843.938,151314.969,-0.027,1.014,-0.106,-0.610,0.427,0.824,93.333,9976.000,1.000
145404.625,145056.563,489850.219,401867.750,138673.172,163716.516,138000.750,151782.484,-0.027,1.012,-0.106,-0.610,0.458,0.793,93.333,9977.000,1.000
145969.422,145283.578,490410.813,401972.094,139446.641,164201.281,138179.469,152471.531,-0.027,1.013,-0.104,-0.763,0.427,0.763,93.333,9978.000,1.000
145469.891,145018.844,490021.344,401856.500,139009.703,163809.500,137995.750,151925.266,-0.028,1.015,-0.106,-0.824,0.549,0.732,93.333,9979.000,1.000
145009.281,144838.781,489522.438,401765.750,138338.797,163399.844,137849.828,151338.219,-0.029,1.013,-0.106,-0.916,0.610,0.732,93.333,9980.000,1.000
145299.219,145009.906,489721.906,401831.375,138556.422,163631.500,137968.828,151661.250,-0.029,1.015,-0.105,-0.885,0.610,0.824,93.333,9981.000,1.000
