EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-13.537,-14.010,-13.635,-13.928,-13.917,-13.389,-13.707,-13.377,-0.010,0.987,-0.047,-0.061,-0.549,0.092,26.667,2735.000,1.000
-13.525,-13.785,-13.500,-13.721,-13.715,-13.320,-13.528,-13.499,-0.009,0.987,-0.048,-0.061,-0.488,0.153,26.667,2736.000,1.000
-10.168,-10.173,-10.082,-10.186,-10.221,-10.113,-10.163,-10.290,-0.010,0.987,-0.049,-0.061,-0.397,0.153,26.667,2737.000,1.000
-14.033,-14.090,-14.031,-14.130,-14.166,-14.225,-14.250,-14.254,-0.008,0.987,-0.047,0.000,-0.458,0.153,26.667,2738.000,1.000
-22.418,-22.750,-22.449,-22.741,-22.704,-22.651,-22.754,-22.699,-0.007,0.986,-0.051,-0.122,-0.458,0.092,26.667,2739.000,1.000
-23.777,-24.224,-23.612,-24.017,-23.984,-23.744,-23.926,-23.877,-0.008,0.986,-0.051,-0.122,-0.458,0.153,26.667,2740.000,1.000
-18.358,-18.620,-17.988,-18.269,-18.330,-18.020,-18.267,-18.034,-0.010,0.986,-0.052,-0.214,-0.488,0.153,26.667,2741.000,1.000
-18.078,-18.110,-17.769,-17.894,-18.031,-17.719,-17.987,-17.517,-0.010,0.987,-0.054,-0.092,-0.458,0.305,26.667,2742.000,1.000
-25.369,-25.331,-25.226,-25.288,-25.451,-25.169,-25.392,-24.956,-0.010,0.985,-0.050,-0.061,-0.427,0.305,26.667,2743.000,1.000
-28.658,-28.632,-28.548,-28.554,-28.631,-28.506,-28.647,-28.476,-0.010,0.987,-0.053,-0.153,-0.488,0.183,26.667,2744.000,1.000
-23.578,-23.637,-23.504,-23.459,-23.265,-23.451,-23.471,-23.506,-0.009,0.986,-0.052,-0.122,-0.458,0.305,26.667,2745.000,1.000
-20.969,-21.170,-20.997,-20.994,-20.525,-20.931,-20.807,-20.964,-0.008,0.987,-0.051,-0.122,-0.458,0.214,26.667,2746.000,1.000
-25.820,-25.993,-25.862,-25.887,-25.481,-25.713,-25.552,-25.866,-0.008,0.988,-0.050,-0.122,-0.519,0.183,26.667,2747.000,1.000
-27.568,-27.579,-27.691,-27.506,-27.539,-27.301,-27.256,-27.640,-0.007,0.989,-0.051,-0.183,-0.427,0.275,26.667,2748.000,1.000
-20.872,-20.901,-21.291,-20.823,-21.232,-20.640,-20.753,-21.012,-0.008,0.986,-0.049,-0.244,-0.458,0.244,26.667,2749.000,1.000
-15.952,-16.142,-16.518,-16.133,-16.463,-15.866,-16.071,-16.264,-0.007,0.986,-0.049,-0.214,-0.397,0.305,26.667,2750.000,1.000
-18.572,-18.760,-18.915,-18.892,-18.857,-18.598,-18.679,-19.065,-0.008,0.986,-0.048,-0.214,-0.488,0.244,26.667,2751.000,1.000
-18.987,-19.020,-19.098,-19.241,-19.019,-19.173,-18.955,-19.450,-0.008,0.987,-0.050,-0.244,-0.458,0.153,26.667,2752.000,1.000
-10.503,-10.493,-10.629,-10.710,-10.620,-10.833,-10.532,-10.741,-0.009,0.984,-0.047,-0.244,-0.427,0.153,26.667,2753.000,1.000
-2.157,-2.195,-2.336,-2.313,-2.454,-2.409,-2.352,-2.210,-0.009,0.987,-0.049,-0.214,-0.458,0.122,26.667,2754.000,1.000
-2.185,-2.180,-2.284,-2.117,-2.373,-2.235,-2.294,-2.148,-0.009,0.985,-0.050,-0.183,-0.458,0.153,26.667,2755.000,1.000
-2.893,-2.877,-2.905,-2.650,-2.891,-2.904,-2.709,-2.804,-0.007,0.985,-0.048,-0.122,-0.366,0.183,26.667,2756.000,1.000
5.272,5.183,5.242,5.438,5.230,5.156,5.625,5.318,-0.009,0.984,-0.048,-0.275,-0.397,0.061,26.667,2757.000,1.000
16.091,15.968,15.981,16.079,15.902,15.932,16.371,16.000,-0.010,0.986,-0.046,-0.153,-0.458,0.122,26.667,2758.000,1.000
18.625,18.498,18.415,18.438,18.360,18.492,18.717,18.473,-0.011,0.985,-0.045,-0.122,-0.549,0.122,26.667,2759.000,1.000
16.872,16.593,16.622,16.588,16.598,16.791,16.819,16.842,-0.010,0.990,-0.048,-0.183,-0.519,0.153,26.667,2760.000,1.000
22.040,21.704,21.921,21.967,21.896,22.095,22.039,22.174,-0.010,0.986,-0.046,-0.153,-0.519,0.183,26.667,2761.000,1.000
31.543,31.471,31.605,31.877,31.641,31.699,31.748,31.630,-0.008,0.984,-0.044,-0.122,-0.519,0.153,26.667,2762.000,1.000
33.591,33.758,33.625,33.953,33.722,33.632,33.863,33.407,-0.009,0.987,-0.044,-0.153,-0.488,0.153,26.667,2763.000,1.000
28.863,28.930,28.737,28.724,28.731,28.754,28.983,28.489,-0.006,0.986,-0.045,-0.122,-0.458,0.244,26.667,2764.000,1.000
29.206,29.122,29.129,28.727,28.930,29.241,29.244,29.002,-0.008,0.985,-0.046,-0.061,-0.458,0.244,26.667,2765.000,1.000
36.233,36.264,36.406,36.039,36.173,36.570,36.361,36.410,-0.010,0.986,-0.048,-0.031,-0.427,0.305,26.667,2766.000,1.000
38.577,38.765,38.771,38.764,38.701,38.886,38.698,38.827,-0.010,0.987,-0.052,-0.031,-0.397,0.214,26.667,2767.000,1.000
32.441,32.511,32.271,32.496,32.364,32.308,32.291,32.288,-0.008,0.986,-0.050,-0.122,-0.366,0.153,26.667,2768.000,1.000
28.263,28.069,27.784,27.945,27.940,27.791,27.836,27.803,-0.008,0.986,-0.052,-0.122,-0.336,0.244,26.667,2769.000,1.000
31.161,30.944,30.768,30.776,30.982,30.821,30.809,30.953,-0.009,0.986,-0.049,-0.183,-0.458,0.336,26.667,2770.000,1.000
31.791,31.941,31.629,31.585,31.944,31.794,31.806,32.014,-0.009,0.986,-0.050,-0.214,-0.458,0.244,26.667,2771.000,1.000
24.621,25.207,24.553,24.552,24.944,24.819,24.924,24.925,-0.010,0.985,-0.046,-0.244,-0.519,0.275,26.667,2772.000,1.000
18.636,19.309,18.561,18.676,19.008,18.890,19.004,18.755,-0.011,0.987,-0.050,-0.244,-0.519,0.275,26.667,2773.000,1.000
20.588,20.988,20.460,20.667,20.980,20.837,20.918,20.592,-0.010,0.985,-0.051,-0.275,-0.488,0.275,26.667,2774.000,1.000
22.230,22.261,22.049,22.144,22.538,22.382,22.509,22.272,-0.007,0.987,-0.051,-0.244,-0.458,0.183,26.667,2775.000,1.000
15.552,15.360,15.460,15.275,15.716,15.624,15.769,15.722,-0.008,0.986,-0.051,-0.153,-0.427,0.153,26.667,2776.000,1.000
7.923,7.782,8.053,7.658,8.017,8.041,8.024,8.229,-0.006,0.986,-0.052,-0.122,-0.336,0.244,26.667,2777.000,1.000
8.654,8.665,8.880,8.491,8.753,8.768,8.582,8.919,-0.008,0.984,-0.049,-0.244,-0.366,0.366,26.667,2778.000,1.000
12.056,12.045,12.120,11.952,12.216,11.969,11.880,12.036,-0.007,0.983,-0.050,-0.153,-0.397,0.153,26.667,2779.000,1.000
8.566,8.449,8.427,8.538,8.782,8.281,8.383,8.278,-0.007,0.984,-0.050,-0.183,-0.488,0.214,26.667,2780.000,1.000
2.635,2.588,2.479,2.691,2.780,2.356,2.438,2.359,-0.007,0.987,-0.054,-0.183,-0.519,0.153,26.667,2781.000,1.000
4.029,4.143,3.984,4.068,4.030,3.849,3.832,3.965,-0.008,0.985,-0.050,-0.244,-0.458,0.244,26.667,2782.000,1.000
9.149,9.243,9.233,9.088,9.099,8.984,9.061,9.200,-0.008,0.987,-0.047,-0.183,-0.488,0.214,26.667,2783.000,1.000
7.173,7.100,7.380,7.095,7.190,6.979,7.208,7.114,-0.008,0.985,-0.046,-0.275,-0.519,0.244,26.667,2784.000,1.000
-0.138,-0.270,0.079,-0.134,-0.032,-0.288,-0.134,-0.370,-0.006,0.986,-0.048,-0.275,-0.458,0.153,26.667,2785.000,1.000
-1.085,-1.127,-1.041,-1.111,-1.017,-1.189,-1.220,-1.396,-0.006,0.985,-0.050,-0.214,-0.458,0.336,26.667,2786.000,1.000
5.334,5.404,5.208,5.166,5.198,5.182,5.153,5.082,-0.009,0.985,-0.047,-0.183,-0.397,0.305,26.667,2787.000,1.000
7.749,7.924,7.580,7.533,7.438,7.568,7.631,7.687,-0.008,0.984,-0.045,-0.122,-0.427,0.305,26.667,2788.000,1.000
3.013,3.266,2.828,2.892,2.751,2.893,2.925,3.132,-0.008,0.984,-0.048,-0.183,-0.397,0.244,26.667,2789.000,1.000
1.551,1.830,1.407,1.663,1.512,1.518,1.474,1.695,-0.007,0.985,-0.046,-0.122,-0.427,0.244,26.667,2790.000,1.000
7.060,7.369,7.159,7.502,7.233,7.149,7.092,7.191,-0.008,0.984,-0.048,-0.214,-0.458,0.305,26.667,2791.000,1.000
9.057,9.385,9.475,9.667,9.314,9.257,9.253,9.319,-0.008,0.986,-0.049,-0.244,-0.427,0.305,26.667,2792.000,1.000
3.221,3.504,3.748,3.706,3.442,3.374,3.511,3.652,-0.008,0.987,-0.047,-0.244,-0.458,0.183,26.667,2793.000,1.000
0.169,0.409,0.556,0.508,0.333,0.206,0.485,0.586,-0.009,0.985,-0.050,-0.275,-0.488,0.183,26.667,2794.000,1.000
5.360,5.571,5.527,5.782,5.503,5.420,5.664,5.583,-0.007,0.986,-0.046,-0.183,-0.488,0.214,26.667,2795.000,1.000
8.921,8.981,8.891,9.477,8.993,9.081,9.136,8.931,-0.006,0.988,-0.047,-0.153,-0.519,0.153,26.667,2796.000,1.000
4.507,4.280,4.387,4.947,4.439,4.660,4.647,4.431,-0.007,0.986,-0.044,-0.061,-0.488,0.122,26.667,2797.000,1.000
0.780,0.319,0.760,0.916,0.639,0.779,0.951,0.737,-0.008,0.985,-0.048,-0.031,-0.488,0.122,26.667,2798.000,1.000
4.513,4.043,4.706,4.479,4.436,4.383,4.677,4.517,-0.009,0.984,-0.045,-0.122,-0.397,0.183,26.667,2799.000,1.000
8.156,7.885,8.474,8.194,8.215,8.116,8.223,8.195,-0.008,0.988,-0.049,-0.092,-0.458,0.244,26.667,2800.000,1.000
4.237,4.211,4.527,4.406,4.391,4.383,4.336,4.331,-0.009,0.985,-0.051,-0.092,-0.427,0.275,26.667,2801.000,1.000
-1.208,-1.123,-1.014,-1.067,-1.111,-1.095,-0.956,-1.095,-0.009,0.987,-0.051,-0.214,-0.397,0.153,26.667,2802.000,1.000
-0.123,-0.148,-0.047,-0.197,-0.172,-0.284,0.069,-0.097,-0.009,0.986,-0.052,-0.153,-0.458,0.122,26.667,2803.000,1.000
